No.;Time;Source;Destination;Protocol;Length;Info;;;;;;;;;;time 1;time 2;delay;;Delay 2;Delay 3;Jitter
1;0;10.120.93.121;199.232.46.248;TCP;55;60917  >  443 [ACK] Seq=1 Ack=1 Win=399 Len=1 [TCP segment of a reassembled PDU];;;;;;;;;;0;0,031397;0,031397;;-3,177517;3,208914;6,386431
2;0,031397;199.232.46.248;10.120.93.121;TCP;66;443  >  60917 [ACK] Seq=1 Ack=2 Win=295 Len=0 SLE=1 SRE=2;;;;;;;;;;0,031397;3,240311;3,208914;;3,183454;0,02546;-3,157994
3;3,240311;10.120.93.121;199.232.46.248;TCP;55;60922  >  443 [ACK] Seq=1 Ack=1 Win=1057 Len=1 [TCP segment of a reassembled PDU];;;;;;;;;;3,240311;3,265771;0,02546;;-0,971267;0,996727;1,967994
4;3,265771;199.232.46.248;10.120.93.121;TCP;66;443  >  60922 [ACK] Seq=1 Ack=2 Win=306 Len=0 SLE=1 SRE=2;;;;;;;;;;3,265771;4,262498;0,996727;;0,940527;0,0562;-0,884327
5;4,262498;10.120.93.121;35.186.224.39;TLSv1.2;97;Application Data;;;;;;;;;;4,262498;4,318698;0,0562;;0,017228;0,038972;0,021744
6;4,318698;35.186.224.39;10.120.93.121;TCP;60;443  >  61011 [ACK] Seq=1 Ack=44 Win=283 Len=0;;;;;;;;;;4,318698;4,35767;0,038972;;0,036388;0,002584;-0,033804
7;4,35767;10.120.93.121;118.98.113.218;TLSv1.2;891;Application Data;;;;;;;;;;4,35767;4,360254;0,002584;;-0,037237;0,039821;0,077058
8;4,360254;35.186.224.39;10.120.93.121;TLSv1.2;94;Application Data;;;;;;;;;;4,360254;4,400075;0,039821;;0,039159;0,000662;-0,038497
9;4,400075;10.120.93.121;35.186.224.39;TCP;54;61011  >  443 [ACK] Seq=44 Ack=41 Win=256 Len=0;;;;;;;;;;4,400075;4,400737;0,000662;;-0,00094;0,001602;0,002542
10;4,400737;118.98.113.218;10.120.93.121;TLSv1.2;670;Application Data;;;;;;;;;;4,400737;4,402339;0,001602;;0,001602;0;-0,001602
11;4,402339;118.98.113.218;10.120.93.121;TCP;1514;443  >  61020 [ACK] Seq=617 Ack=838 Win=275 Len=1460 [TCP segment of a reassembled PDU];;;;;;;;;;4,402339;4,402339;0;;-0,000142;0,000142;0,000284
12;4,402339;118.98.113.218;10.120.93.121;TCP;1514;443  >  61020 [ACK] Seq=2077 Ack=838 Win=275 Len=1460 [TCP segment of a reassembled PDU];;;;;;;;;;4,402339;4,402481;0,000142;;-0,003369;0,003511;0,00688
13;4,402481;10.120.93.121;118.98.113.218;TCP;54;61020  >  443 [ACK] Seq=838 Ack=3537 Win=524 Len=0;;;;;;;;;;4,402481;4,405992;0,003511;;0,003511;0;-0,003511
14;4,405992;118.98.113.218;10.120.93.121;TCP;1514;443  >  61020 [ACK] Seq=3537 Ack=838 Win=275 Len=1460 [TCP segment of a reassembled PDU];;;;;;;;;;4,405992;4,405992;0;;-0,000163;0,000163;0,000326
15;4,405992;118.98.113.218;10.120.93.121;TCP;1514;443  >  61020 [ACK] Seq=4997 Ack=838 Win=275 Len=1460 [TCP segment of a reassembled PDU];;;;;;;;;;4,405992;4,406155;0,000163;;-0,003223;0,003386;0,006609
16;4,406155;10.120.93.121;118.98.113.218;TCP;54;61020  >  443 [ACK] Seq=838 Ack=6457 Win=524 Len=0;;;;;;;;;;4,406155;4,409541;0,003386;;0,003247;0,000139;-0,003108
17;4,409541;118.98.113.218;10.120.93.121;TCP;1514;443  >  61020 [ACK] Seq=6457 Ack=838 Win=275 Len=1460 [TCP segment of a reassembled PDU];;;;;;;;;;4,409541;4,40968;0,000139;;-0,007627;0,007766;0,015393
18;4,40968;10.120.93.121;118.98.113.218;TCP;54;61020  >  443 [ACK] Seq=838 Ack=7917 Win=524 Len=0;;;;;;;;;;4,40968;4,417446;0,007766;;0,007766;0;-0,007766
19;4,417446;118.98.113.218;10.120.93.121;TCP;1514;443  >  61020 [ACK] Seq=7917 Ack=838 Win=275 Len=1460 [TCP segment of a reassembled PDU];;;;;;;;;;4,417446;4,417446;0;;-0,000163;0,000163;0,000326
20;4,417446;118.98.113.218;10.120.93.121;TCP;1514;443  >  61020 [ACK] Seq=9377 Ack=838 Win=275 Len=1460 [TCP segment of a reassembled PDU];;;;;;;;;;4,417446;4,417609;0,000163;;-0,011247;0,01141;0,022657
21;4,417609;10.120.93.121;118.98.113.218;TCP;54;61020  >  443 [ACK] Seq=838 Ack=10837 Win=524 Len=0;;;;;;;;;;4,417609;4,429019;0,01141;;0,01141;0;-0,01141
22;4,429019;118.98.113.218;10.120.93.121;TCP;1514;443  >  61020 [ACK] Seq=10837 Ack=838 Win=275 Len=1460 [TCP segment of a reassembled PDU];;;;;;;;;;4,429019;4,429019;0;;-0,000167;0,000167;0,000334
23;4,429019;118.98.113.218;10.120.93.121;TCP;1514;443  >  61020 [ACK] Seq=12297 Ack=838 Win=275 Len=1460 [TCP segment of a reassembled PDU];;;;;;;;;;4,429019;4,429186;0,000167;;-0,000043;0,00021;0,000253
24;4,429186;10.120.93.121;118.98.113.218;TCP;54;61020  >  443 [ACK] Seq=838 Ack=13757 Win=524 Len=0;;;;;;;;;;4,429186;4,429396;0,00021;;-0,030931;0,031141;0,062072
25;4,429396;118.98.113.218;10.120.93.121;TCP;1514;443  >  61020 [ACK] Seq=13757 Ack=838 Win=275 Len=1460 [TCP segment of a reassembled PDU];;;;;;;;;;4,429396;4,460537;0,031141;;0,031141;0;-0,031141
26;4,460537;118.98.113.218;10.120.93.121;TCP;1514;443  >  61020 [ACK] Seq=15217 Ack=838 Win=275 Len=1460 [TCP segment of a reassembled PDU];;;;;;;;;;4,460537;4,460537;0;;-0,000163;0,000163;0,000326
27;4,460537;118.98.113.218;10.120.93.121;TLSv1.2;1514;Application Data [TCP segment of a reassembled PDU];;;;;;;;;;4,460537;4,4607;0,000163;;-0,000064;0,000227;0,000291
28;4,4607;10.120.93.121;118.98.113.218;TCP;54;61020  >  443 [ACK] Seq=838 Ack=18137 Win=524 Len=0;;;;;;;;;;4,4607;4,460927;0,000227;;0,000159;6,80E-05;-0,000091
29;4,460927;118.98.113.218;10.120.93.121;TCP;1514;443  >  61020 [ACK] Seq=18137 Ack=838 Win=275 Len=1460 [TCP segment of a reassembled PDU];;;;;;;;;;4,460927;4,460995;6,80E-05;;-0,000097;0,000165;0,000262
30;4,460995;10.120.93.121;118.98.113.218;TCP;54;61020  >  443 [ACK] Seq=838 Ack=19597 Win=524 Len=0;;;;;;;;;;4,460995;4,46116;0,000165;;0,000165;0;-0,000165
31;4,46116;118.98.113.218;10.120.93.121;TCP;1514;443  >  61020 [ACK] Seq=19597 Ack=838 Win=275 Len=1460 [TCP segment of a reassembled PDU];;;;;;;;;;4,46116;4,46116;0;;-0,000081;8,10E-05;0,000162
32;4,46116;118.98.113.218;10.120.93.121;TCP;1514;443  >  61020 [ACK] Seq=21057 Ack=838 Win=275 Len=1460 [TCP segment of a reassembled PDU];;;;;;;;;;4,46116;4,461241;8,10E-05;;-0,000072;0,000153;0,000225
33;4,461241;10.120.93.121;118.98.113.218;TCP;54;61020  >  443 [ACK] Seq=838 Ack=22517 Win=524 Len=0;;;;;;;;;;4,461241;4,461394;0,000153;;0,000153;0;-0,000153
34;4,461394;118.98.113.218;10.120.93.121;TCP;1514;443  >  61020 [ACK] Seq=22517 Ack=838 Win=275 Len=1460 [TCP segment of a reassembled PDU];;;;;;;;;;4,461394;4,461394;0;;-0,000077;7,70E-05;0,000154
35;4,461394;118.98.113.218;10.120.93.121;TCP;1514;443  >  61020 [ACK] Seq=23977 Ack=838 Win=275 Len=1460 [TCP segment of a reassembled PDU];;;;;;;;;;4,461394;4,461471;7,70E-05;;-0,000083;0,00016;0,000243
36;4,461471;10.120.93.121;118.98.113.218;TCP;54;61020  >  443 [ACK] Seq=838 Ack=25437 Win=524 Len=0;;;;;;;;;;4,461471;4,461631;0,00016;;0,00016;0;-0,00016
37;4,461631;118.98.113.218;10.120.93.121;TCP;1514;443  >  61020 [ACK] Seq=25437 Ack=838 Win=275 Len=1460 [TCP segment of a reassembled PDU];;;;;;;;;;4,461631;4,461631;0;;-0,000089;8,90E-05;0,000178
38;4,461631;118.98.113.218;10.120.93.121;TCP;1514;[TCP Previous segment not captured] 443  >  61020 [ACK] Seq=28357 Ack=838 Win=275 Len=1460 [TCP segment of a reassembled PDU];;;;;;;;;;4,461631;4,46172;8,90E-05;;-0,000068;0,000157;0,000225
39;4,46172;10.120.93.121;118.98.113.218;TCP;66;61020  >  443 [ACK] Seq=838 Ack=26897 Win=524 Len=0 SLE=28357 SRE=29817;;;;;;;;;;4,46172;4,461877;0,000157;;0,000068;8,90E-05;0,000021
40;4,461877;118.98.113.218;10.120.93.121;TCP;1514;[TCP Out-Of-Order] 443  >  61020 [ACK] Seq=26897 Ack=838 Win=275 Len=1460 [TCP segment of a reassembled PDU];;;;;;;;;;4,461877;4,461966;8,90E-05;;-0,000079;0,000168;0,000247
41;4,461966;10.120.93.121;118.98.113.218;TCP;54;61020  >  443 [ACK] Seq=838 Ack=29817 Win=524 Len=0;;;;;;;;;;4,461966;4,462134;0,000168;;0,00002;0,000148;0,000128
42;4,462134;118.98.113.218;10.120.93.121;TCP;1514;443  >  61020 [ACK] Seq=29817 Ack=838 Win=275 Len=1460 [TCP segment of a reassembled PDU];;;;;;;;;;4,462134;4,462282;0,000148;;-0,000212;0,00036;0,000572
43;4,462282;10.120.93.121;118.98.113.218;TCP;54;61020  >  443 [ACK] Seq=838 Ack=31277 Win=524 Len=0;;;;;;;;;;4,462282;4,462642;0,00036;;0,00036;0;-0,00036
44;4,462642;118.98.113.218;10.120.93.121;TCP;1514;443  >  61020 [ACK] Seq=31277 Ack=838 Win=275 Len=1460 [TCP segment of a reassembled PDU];;;;;;;;;;4,462642;4,462642;0;;-0,000122;0,000122;0,000244
45;4,462642;118.98.113.218;10.120.93.121;TLSv1.2;1514;Application Data [TCP segment of a reassembled PDU];;;;;;;;;;4,462642;4,462764;0,000122;;-0,00012;0,000242;0,000362
46;4,462764;10.120.93.121;118.98.113.218;TCP;54;61020  >  443 [ACK] Seq=838 Ack=34197 Win=524 Len=0;;;;;;;;;;4,462764;4,463006;0,000242;;0,000111;0,000131;0,00002
